Party;full_text;label
VVD;Het komt er nu op aan: Nederland krijgt een links of een centrumrechts kabinet. Stem VVD voor een centrumrechts kabinet dat kiest voor rust in je portemonnee, een groeiende economie en een strenge asielaanpak. Alleen met een sterke VVD kunnen we een links kabinet voorkomen.;1
VVD;Onze inzet is een centrumrechts kabinet. Een links kabinet gaan wij niet mogelijk maken. De verschillen zijn te groot voor een kabinet dat stabiel is én de juiste keuzes maakt voor Nederland. Daarmee ligt er vandaag een heldere keuze voor: er komt een links kabinet met GL-PvdA of een centrumrechts kabinet met de VVD. Alleen de VVD is hier helder over.;1
VVD;Alleen met een sterke VVD komt er een centrum rechts kabinet. En alleen met een sterke VVD voorkom je een links kabinet met Timmermans en Jetten.;1
VVD;Dank je wel voor je stem Annemarie van Gaal. We zullen altijd opkomen voor onze vrijheden.;0
VVD;Nederland heeft een centrumrechts kabinet nodig. Team VVD staat met ervaren mensen en doordachte plannen klaar om van zo’n kabinet een succes te maken voor Nederland.;1
VVD;Een stem van professor Afshin Ellian. Dank voor deze steun in onze strijd voor een sterker en veilig Nederland. Steun ons ook ;0
VVD;Enorme eer. Dank je wel John. Wij zullen ons altijd blijven inzetten voor de veiligheid van Nederlanders ;1
VVD;Met het beste en sterkste team staan we klaar voor jou ;0
VVD;Van vrijwilligers blijf je af. Mensen die zich inzetten voor een politieke partij, welke dan ook, dienen onze democratie. Koester dat en laat woensdag in het stemhokje weten wat je vindt. Zoals het hoort. Zonder geweld.;0
VVD;ohan én René toch maar weer VVD! Hoop dat jij ons ook steunt op 29 oktober! ;0
VVD;Iedereen die in Nederland is, moet vrij en veilig kunnen leven. Wij zullen altijd opkomen voor onze veiligheid en vrije rechtsstaat. De VVD wil criminelen steviger aanpakken, asiel beperken en het Nederlanderschap van terroristen intrekken.;1
VVD;De VVD wil criminelen steviger aanpakken, asiel beperken en het Nederlanderschap intrekken van terroristen. Dat doen we om op te komen voor onze veiligheid en vrije rechtsstaat. De vereniging van advocaten noemt dit echter onrechtstatelijk. Net zoals overigens punten uit programma’s van de meeste partijen. Maar dat je de wet wil wijzigen betekent niet dat je tegen de rechtsstaat in gaat. Dit wel zo noemen, holt het begrip uit. Als VVD staan we voor de vrijheid en veiligheid van alle Nederlanders. En we zullen dat altijd verdedigen, ook als dat een prijs heeft voor mijn eigen vrijheid en veiligheid.;1
VVD;"""Sta nou gewoon een keer op voor onze manier van leven. Voor de vrijheden die er zijn."" Met VrijLinks sprak ik over onze vrije samenleving, persoonlijke vrijheid, maar ook de vrijheid om vooruit te komen in het leven. Luister hier de hele aflevering. ";1
VVD;Trots op ons team VVD! Staatssecretaris @JurgenNobel zet een belangrijke stap om het leven van werkende ouders betaalbaar te maken. De VVD doet wat nodig is om rust terug te brengen in de portemonnee. Ons team staat klaar om hierop te blijven leveren. Dit is de keuze op 29/10.;1
VVD;Tijdens RTL Tonight sprak ik over mijn beveiliging. Het is niet altijd makkelijk om vrijheid in te leveren, maar we hebben de beste mensen die ons beschermen. De dreiging tegen politici, journalisten, rechters en advocaten neemt toe. Ik laat me niet intimideren en zal altijd opstaan voor onze manier van leven.;1
VVD;Alleen met een sterke VVD voorkom je een links kabinet. De VVD wil een centrumrechts kabinet voor lagere lasten, strenger asielbeleid en een sterke economie. Wij zijn de enige die hier duidelijk over zijn én kunnen leveren. Het kan. Dit is de keuze 29/10.;1
VVD;Met De Correspondent ging ik in gesprek over onze keuze voor een sterke economie, een strenger, sterker en effectiever asielstelsel en waarom we moeten stoppen met het bedrijfsleven zien als een pinautomaat. Luister hier de podcast. ;1
